"Background characteristics","Category","Gender","variable","value"
"Age","25-29","Male","Other",0
"Age","30-34","Male","Other",0
"Age","35-39","Male","Other",0
"Age","40-44","Male","Other",0
"Age","45-49","Male","Other",0
"Number of living children","0","Male","Other",0.1
"Number of living children","1-2","Male","Other",0
"Number of living children","3-4","Male","Other",0
"Number of living children","5+","Male","Other",0
"Residence","Urban","Male","Other",0
"Residence","Rural","Male","Other",0
"Education","No education","Male","Other",0
"Education","Primary","Male","Other",0
"Education","Secondary","Male","Other",0
"Education","More than secondary","Male","Other",0
"Wealth quintile","Lowest","Male","Other",0
"Wealth quintile","Second","Male","Other",0
"Wealth quintile","Middle","Male","Other",0
"Wealth quintile","Fourth","Male","Other",0
"Wealth quintile","Highest","Male","Other",0
