"Background characteristics","Category","Gender","variable","value"
"Wealth quintile","Middle","Female","Do not own 
agricultural land",94
"Wealth quintile","Fourth","Female","Do not own 
agricultural land",93
"Wealth quintile","Highest","Female","Do not own 
agricultural land",90
"Age","15-19","Male","Do not own 
agricultural land",99
"Age","20-24","Male","Do not own 
agricultural land",96
"Age","25-29","Male","Do not own 
agricultural land",94
"Age","30-34","Male","Do not own 
agricultural land",89
"Age","35-39","Male","Do not own 
agricultural land",85
"Age","40-44","Male","Do not own 
agricultural land",84
"Age","45-49","Male","Do not own 
agricultural land",82
"Residence","Urban","Male","Do not own 
agricultural land",92
"Residence","Rural","Male","Do not own 
agricultural land",92
"Education","No education","Male","Do not own 
agricultural land",90
"Education","Primary","Male","Do not own 
agricultural land",93
"Education","Secondary","Male","Do not own 
agricultural land",93
"Education","More than secondary","Male","Do not own 
agricultural land",85
"Wealth quintile","Lowest","Male","Do not own 
agricultural land",95
"Wealth quintile","Second","Male","Do not own 
agricultural land",94
"Wealth quintile","Middle","Male","Do not own 
agricultural land",92
"Wealth quintile","Fourth","Male","Do not own 
agricultural land",93
"Wealth quintile","Highest","Male","Do not own 
agricultural land",88
"Age","15-19","Female","Name is on title deed",9
"Age","20-24","Female","Name is on title deed",22
"Age","25-29","Female","Name is on title deed",23
"Age","30-34","Female","Name is on title deed",36
"Age","35-39","Female","Name is on title deed",36
"Age","40-44","Female","Name is on title deed",31
"Age","45-49","Female","Name is on title deed",33
"Residence","Urban","Female","Name is on title deed",44
"Residence","Rural","Female","Name is on title deed",21
"Education","No education","Female","Name is on title deed",17
"Education","Primary","Female","Name is on title deed",24
"Education","Secondary","Female","Name is on title deed",31
"Education","More than secondary","Female","Name is on title deed",43
"Wealth quintile","Lowest","Female","Name is on title deed",9
"Wealth quintile","Second","Female","Name is on title deed",12
"Wealth quintile","Middle","Female","Name is on title deed",21
"Wealth quintile","Fourth","Female","Name is on title deed",27
"Wealth quintile","Highest","Female","Name is on title deed",50
"Age","15-19","Male","Name is on title deed",0
"Age","20-24","Male","Name is on title deed",0
"Age","25-29","Male","Name is on title deed",0
"Age","30-34","Male","Name is on title deed",0
"Age","35-39","Male","Name is on title deed",0
"Age","40-44","Male","Name is on title deed",0
"Age","45-49","Male","Name is on title deed",0
"Residence","Urban","Male","Name is on title deed",0
"Residence","Rural","Male","Name is on title deed",0
"Education","No education","Male","Name is on title deed",0
"Education","Primary","Male","Name is on title deed",0
"Education","Secondary","Male","Name is on title deed",0
"Education","More than secondary","Male","Name is on title deed",0
"Wealth quintile","Lowest","Male","Name is on title deed",0
"Wealth quintile","Second","Male","Name is on title deed",0
"Wealth quintile","Middle","Male","Name is on title deed",0
"Wealth quintile","Fourth","Male","Name is on title deed",0
"Wealth quintile","Highest","Male","Name is on title deed",0
"Age","15-19","Female","Name is not 
on title deed",27
"Age","20-24","Female","Name is not 
on title deed",24
"Age","25-29","Female","Name is not 
on title deed",24
"Age","30-34","Female","Name is not 
on title deed",24
"Age","35-39","Female","Name is not 
on title deed",20
"Age","40-44","Female","Name is not 
on title deed",27
"Age","45-49","Female","Name is not 
on title deed",23
"Residence","Urban","Female","Name is not 
on title deed",27
"Residence","Rural","Female","Name is not 
on title deed",22
"Education","No education","Female","Name is not 
on title deed",25
"Education","Primary","Female","Name is not 
on title deed",22
"Education","Secondary","Female","Name is not 
on title deed",22
"Education","More than secondary","Female","Name is not 
on title deed",28
"Wealth quintile","Lowest","Female","Name is not 
on title deed",20
"Wealth quintile","Second","Female","Name is not 
on title deed",19
"Wealth quintile","Middle","Female","Name is not 
on title deed",19
"Wealth quintile","Fourth","Female","Name is not 
on title deed",25
"Wealth quintile","Highest","Female","Name is not 
on title deed",27
"Age","15-19","Male","Name is not 
on title deed",0
"Age","20-24","Male","Name is not 
on title deed",0
"Age","25-29","Male","Name is not 
on title deed",0
"Age","30-34","Male","Name is not 
on title deed",0
"Age","35-39","Male","Name is not 
on title deed",0
"Age","40-44","Male","Name is not 
on title deed",0
"Age","45-49","Male","Name is not 
on title deed",0
"Residence","Urban","Male","Name is not 
on title deed",0
"Residence","Rural","Male","Name is not 
on title deed",0
"Education","No education","Male","Name is not 
on title deed",0
"Education","Primary","Male","Name is not 
on title deed",0
"Education","Secondary","Male","Name is not 
on title deed",0
"Education","More than secondary","Male","Name is not 
on title deed",0
"Wealth quintile","Lowest","Male","Name is not 
on title deed",0
"Wealth quintile","Second","Male","Name is not 
on title deed",0
"Wealth quintile","Middle","Male","Name is not 
on title deed",0
"Wealth quintile","Fourth","Male","Name is not 
on title deed",0
"Wealth quintile","Highest","Male","Name is not 
on title deed",0
"Age","15-19","Female","Does not have 
a title deed",48
"Age","20-24","Female","Does not have 
a title deed",52
"Age","25-29","Female","Does not have 
a title deed",50
"Age","30-34","Female","Does not have 
a title deed",38
"Age","35-39","Female","Does not have 
a title deed",42
"Age","40-44","Female","Does not have 
a title deed",42
"Age","45-49","Female","Does not have 
a title deed",43
"Residence","Urban","Female","Does not have 
a title deed",27
"Residence","Rural","Female","Does not have 
a title deed",55
"Education","No education","Female","Does not have 
a title deed",55
"Education","Primary","Female","Does not have 
a title deed",52
"Education","Secondary","Female","Does not have 
a title deed",45
"Education","More than secondary","Female","Does not have 
a title deed",27
"Wealth quintile","Lowest","Female","Does not have 
a title deed",68
"Wealth quintile","Second","Female","Does not have 
a title deed",66
"Wealth quintile","Middle","Female","Does not have 
a title deed",59
"Wealth quintile","Fourth","Female","Does not have 
a title deed",45
"Wealth quintile","Highest","Female","Does not have 
a title deed",22
"Age","15-19","Male","Does not have 
a title deed",46
"Age","20-24","Male","Does not have 
a title deed",51
"Age","25-29","Male","Does not have 
a title deed",55
"Age","30-34","Male","Does not have 
a title deed",34
"Age","35-39","Male","Does not have 
a title deed",39
"Age","40-44","Male","Does not have 
a title deed",44
"Age","45-49","Male","Does not have 
a title deed",43
"Residence","Urban","Male","Does not have 
a title deed",33
"Residence","Rural","Male","Does not have 
a title deed",50
"Education","No education","Male","Does not have 
a title deed",56
"Education","Primary","Male","Does not have 
a title deed",55
"Education","Secondary","Male","Does not have 
a title deed",41
"Education","More than secondary","Male","Does not have 
a title deed",27
"Wealth quintile","Lowest","Male","Does not have 
a title deed",61
"Wealth quintile","Second","Male","Does not have 
a title deed",62
"Wealth quintile","Middle","Male","Does not have 
a title deed",52
"Wealth quintile","Fourth","Male","Does not have 
a title deed",37
"Wealth quintile","Highest","Male","Does not have 
a title deed",26
"Age","15-19","Female","Don't know",17
"Age","20-24","Female","Don't know",2
"Age","25-29","Female","Don't know",3
"Age","30-34","Female","Don't know",2
"Age","35-39","Female","Don't know",2
"Age","40-44","Female","Don't know",1
"Age","45-49","Female","Don't know",1
"Residence","Urban","Female","Don't know",2
"Residence","Rural","Female","Don't know",2
"Education","No education","Female","Don't know",2
"Education","Primary","Female","Don't know",2
"Education","Secondary","Female","Don't know",2
"Education","More than secondary","Female","Don't know",2
"Wealth quintile","Lowest","Female","Don't know",3
"Wealth quintile","Second","Female","Don't know",2
"Wealth quintile","Middle","Female","Don't know",2
"Wealth quintile","Fourth","Female","Don't know",3
"Wealth quintile","Highest","Female","Don't know",1
"Age","15-19","Male","Don't know",14
"Age","20-24","Male","Don't know",2
"Age","25-29","Male","Don't know",0
"Age","30-34","Male","Don't know",0
"Age","35-39","Male","Don't know",0.1
"Age","40-44","Male","Don't know",0.2
"Age","45-49","Male","Don't know",0
"Residence","Urban","Male","Don't know",0.3
"Residence","Rural","Male","Don't know",1
"Education","No education","Male","Don't know",0
"Education","Primary","Male","Don't know",0.3
"Education","Secondary","Male","Don't know",1
"Education","More than secondary","Male","Don't know",0.2
"Wealth quintile","Lowest","Male","Don't know",1
"Wealth quintile","Second","Male","Don't know",1
"Wealth quintile","Middle","Male","Don't know",1
"Wealth quintile","Fourth","Male","Don't know",0.5
"Wealth quintile","Highest","Male","Don't know",0.1
