"Background characteristics","Category","Gender","variable","value"
"Marital Status","Divorced/separated/widowed","Male","Often",3
"Education","No education","Male","Often",0
"Education","Primary","Male","Often",1
"Education","Secondary","Male","Often",1
"Education","More than secondary","Male","Often",1
"Wealth quintile","Lowest","Male","Often",1
"Wealth quintile","Second","Male","Often",1
"Wealth quintile","Middle","Male","Often",2
"Wealth quintile","Fourth","Male","Often",0.3
"Wealth quintile","Highest","Male","Often",1
"Age","15-19","Female","Sometimes",10
"Age","20-24","Female","Sometimes",12
"Age","25-29","Female","Sometimes",14
"Age","30-39","Female","Sometimes",13
"Age","40-49","Female","Sometimes",10
"Residence","Urban","Female","Sometimes",10
"Residence","Rural","Female","Sometimes",14
"Marital Status","Never married","Female","Sometimes",8
"Marital Status","Never ever had intimate partner","Female","Sometimes",6
"Marital Status","Ever had intimate partner","Female","Sometimes",9
"Marital Status","Ever married","Female","Sometimes",14
"Marital Status","Married/living together","Female","Sometimes",15
"Marital Status","Divorced/separated/widowed","Female","Sometimes",11
"Education","No education","Female","Sometimes",13
"Education","Primary","Female","Sometimes",16
"Education","Secondary","Female","Sometimes",12
"Education","More than secondary","Female","Sometimes",6
"Wealth quintile","Lowest","Female","Sometimes",16
"Wealth quintile","Second","Female","Sometimes",14
"Wealth quintile","Middle","Female","Sometimes",14
"Wealth quintile","Fourth","Female","Sometimes",11
"Wealth quintile","Highest","Female","Sometimes",8
"Age","15-19","Male","Sometimes",16
"Age","20-24","Male","Sometimes",10
"Age","25-29","Male","Sometimes",8
"Age","30-39","Male","Sometimes",8
"Age","40-49","Male","Sometimes",5
"Residence","Urban","Male","Sometimes",12
"Residence","Rural","Male","Sometimes",8
"Marital Status","Never married","Male","Sometimes",12
"Marital Status","Never ever had intimate partner","Male","Sometimes",14
"Marital Status","Ever had intimate partner","Male","Sometimes",10
"Marital Status","Ever married","Male","Sometimes",7
"Marital Status","Married/living together","Male","Sometimes",6
"Marital Status","Divorced/separated/widowed","Male","Sometimes",14
"Education","No education","Male","Sometimes",5
"Education","Primary","Male","Sometimes",9
"Education","Secondary","Male","Sometimes",11
"Education","More than secondary","Male","Sometimes",7
"Wealth quintile","Lowest","Male","Sometimes",8
"Wealth quintile","Second","Male","Sometimes",9
"Wealth quintile","Middle","Male","Sometimes",9
"Wealth quintile","Fourth","Male","Sometimes",8
"Wealth quintile","Highest","Male","Sometimes",11
"Age","15-19","Female","Often or sometimes",11
"Age","20-24","Female","Often or sometimes",15
"Age","25-29","Female","Often or sometimes",19
"Age","30-39","Female","Often or sometimes",18
"Age","40-49","Female","Often or sometimes",14
"Residence","Urban","Female","Often or sometimes",13
"Residence","Rural","Female","Often or sometimes",17
"Marital Status","Never married","Female","Often or sometimes",9
"Marital Status","Never ever had intimate partner","Female","Often or sometimes",7
"Marital Status","Ever had intimate partner","Female","Often or sometimes",11
"Marital Status","Ever married","Female","Often or sometimes",19
"Marital Status","Married/living together","Female","Often or sometimes",19
"Marital Status","Divorced/separated/widowed","Female","Often or sometimes",19
"Education","No education","Female","Often or sometimes",18
"Education","Primary","Female","Often or sometimes",21
"Education","Secondary","Female","Often or sometimes",15
"Education","More than secondary","Female","Often or sometimes",7
"Wealth quintile","Lowest","Female","Often or sometimes",21
"Wealth quintile","Second","Female","Often or sometimes",19
"Wealth quintile","Middle","Female","Often or sometimes",17
"Wealth quintile","Fourth","Female","Often or sometimes",14
"Wealth quintile","Highest","Female","Often or sometimes",10
"Age","15-19","Male","Often or sometimes",17
"Age","20-24","Male","Often or sometimes",10
"Age","25-29","Male","Often or sometimes",8
"Age","30-39","Male","Often or sometimes",8
"Age","40-49","Male","Often or sometimes",6
"Residence","Urban","Male","Often or sometimes",13
"Residence","Rural","Male","Often or sometimes",9
"Marital Status","Never married","Male","Often or sometimes",13
"Marital Status","Never ever had intimate partner","Male","Often or sometimes",16
"Marital Status","Ever had intimate partner","Male","Often or sometimes",11
"Marital Status","Ever married","Male","Often or sometimes",8
"Marital Status","Married/living together","Male","Often or sometimes",6
"Marital Status","Divorced/separated/widowed","Male","Often or sometimes",17
"Education","No education","Male","Often or sometimes",5
"Education","Primary","Male","Often or sometimes",11
"Education","Secondary","Male","Often or sometimes",12
"Education","More than secondary","Male","Often or sometimes",8
"Wealth quintile","Lowest","Male","Often or sometimes",9
"Wealth quintile","Second","Male","Often or sometimes",11
"Wealth quintile","Middle","Male","Often or sometimes",11
"Wealth quintile","Fourth","Male","Often or sometimes",9
"Wealth quintile","Highest","Male","Often or sometimes",12
