"Background characteristics","Category","Gender","variable","value"
"Mother beat father","Don't know","Male","Ever*",18
"Respondent afraid of spouse/intimate partner","Most of the time afraid","Male","Ever*",44
"Respondent afraid of spouse/intimate partner","Sometimes afraid","Male","Ever*",33
"Respondent afraid of spouse/intimate partner","Never afraid","Male","Ever*",18
"Spouse's/intimate partner's alcohol consumption","Does not drink alcohol","Female","Last 12 months",1
"Spouse's/intimate partner's alcohol consumption","Drinks alcohol but is never drunk","Female","Last 12 months",2
"Spouse's/intimate partner's alcohol consumption","Is sometimes drunk","Female","Last 12 months",4
"Spouse's/intimate partner's alcohol consumption","Is often drunk","Female","Last 12 months",5
"Husband's education","No education","Female","Last 12 months",2
"Husband's education","Primary","Female","Last 12 months",2
"Husband's education","Secondary","Female","Last 12 months",2
"Husband's education","More than secondary","Female","Last 12 months",2
"Husband's education","DK/missing","Female","Last 12 months",5
"Spousal education difference","Husband better educated","Female","Last 12 months",2
"Spousal education difference","Wife better educated","Female","Last 12 months",3
"Spousal education difference","Both equally educated","Female","Last 12 months",2
"Spousal education difference","Neither educated","Female","Last 12 months",1
"Spousal age difference","Wife older","Female","Last 12 months",3
"Spousal age difference","Wife is same age","Female","Last 12 months",4
"Spousal age difference","Wife 1-4 years younger","Female","Last 12 months",2
"Spousal age difference","Wife 5-9 years younger","Female","Last 12 months",1
"Spousal age difference","Wife 10 or more years younger","Female","Last 12 months",2
"Number of decisions in which he/she participates","0","Female","Last 12 months",1
"Number of decisions in which he/she participates","1","Female","Last 12 months",2
"Number of decisions in which he/she participates","2","Female","Last 12 months",2
"Number of controlling behaviors displayed by spouse/intimate partner","0","Female","Last 12 months",1
"Number of controlling behaviors displayed by spouse/intimate partner","1-2","Female","Last 12 months",1
"Number of controlling behaviors displayed by spouse/intimate partner","3-4","Female","Last 12 months",4
"Number of controlling behaviors displayed by spouse/intimate partner","5","Female","Last 12 months",9
"Number of reasons for which wife beating is justified","0","Female","Last 12 months",2
"Number of reasons for which wife beating is justified","1","Female","Last 12 months",2
"Number of reasons for which wife beating is justified","2","Female","Last 12 months",2
"Number of reasons for which wife beating is justified","3","Female","Last 12 months",2
"Father beat mother","Yes","Female","Last 12 months",3
"Father beat mother","No","Female","Last 12 months",1
"Father beat mother","Don't know","Female","Last 12 months",3
"Mother beat father","Yes","Female","Last 12 months",10
"Mother beat father","No","Female","Last 12 months",1
"Mother beat father","Don't know","Female","Last 12 months",3
"Respondent afraid of spouse/intimate partner","Most of the time afraid","Female","Last 12 months",2
"Respondent afraid of spouse/intimate partner","Sometimes afraid","Female","Last 12 months",3
"Respondent afraid of spouse/intimate partner","Never afraid","Female","Last 12 months",1
"Spouse's/intimate partner's alcohol consumption","Does not drink alcohol","Male","Last 12 months",10
"Spouse's/intimate partner's alcohol consumption","Drinks alcohol but is never drunk","Male","Last 12 months",14
"Spouse's/intimate partner's alcohol consumption","Is sometimes drunk","Male","Last 12 months",15
"Spouse's/intimate partner's alcohol consumption","Is often drunk","Male","Last 12 months",24
"Number of decisions in which he/she participates","0","Male","Last 12 months",12
"Number of decisions in which he/she participates","1","Male","Last 12 months",13
"Number of controlling behaviors displayed by spouse/intimate partner","0","Male","Last 12 months",4
"Number of controlling behaviors displayed by spouse/intimate partner","1-2","Male","Last 12 months",9
"Number of controlling behaviors displayed by spouse/intimate partner","3-4","Male","Last 12 months",18
"Number of controlling behaviors displayed by spouse/intimate partner","5","Male","Last 12 months",14
"Number of reasons for which wife beating is justified","0","Male","Last 12 months",6
"Number of reasons for which wife beating is justified","1","Male","Last 12 months",20
"Number of reasons for which wife beating is justified","2","Male","Last 12 months",22
"Number of reasons for which wife beating is justified","3","Male","Last 12 months",18
"Father beat mother","Yes","Male","Last 12 months",16
"Father beat mother","No","Male","Last 12 months",7
"Father beat mother","Don't know","Male","Last 12 months",7
"Mother beat father","Yes","Male","Last 12 months",17
"Mother beat father","No","Male","Last 12 months",10
"Mother beat father","Don't know","Male","Last 12 months",8
"Respondent afraid of spouse/intimate partner","Most of the time afraid","Male","Last 12 months",29
"Respondent afraid of spouse/intimate partner","Sometimes afraid","Male","Last 12 months",17
"Respondent afraid of spouse/intimate partner","Never afraid","Male","Last 12 months",10
