"Background characteristics","Category","Gender","variable","value"
"Marital status","Divorced/separated/widowed","Female","Never sought help but told someone",18
"Employment","Employed for cash","Female","Never sought help but told someone",17
"Employment","Employed not for cash","Female","Never sought help but told someone",16
"Employment","Not employed","Female","Never sought help but told someone",16
"Education","No education","Female","Never sought help but told someone",12
"Education","Primary","Female","Never sought help but told someone",15
"Education","Secondary","Female","Never sought help but told someone",16
"Education","More than secondary","Female","Never sought help but told someone",23
"Wealth quintile","Lowest","Female","Never sought help but told someone",13
"Wealth quintile","Second","Female","Never sought help but told someone",18
"Wealth quintile","Middle","Female","Never sought help but told someone",16
"Wealth quintile","Fourth","Female","Never sought help but told someone",16
"Wealth quintile","Highest","Female","Never sought help but told someone",19
"Type of violence experienced","Physical only","Male","Never sought help but told someone",13
"Type of violence experienced","Sexual only","Male","Never sought help but told someone",10
"Type of violence experienced","Both physical and sexual","Male","Never sought help but told someone",11
"Age","15-19","Male","Never sought help but told someone",11
"Age","20-24","Male","Never sought help but told someone",11
"Age","25-29","Male","Never sought help but told someone",13
"Age","30-39","Male","Never sought help but told someone",12
"Age","40-49","Male","Never sought help but told someone",16
"Residence","Urban","Male","Never sought help but told someone",12
"Residence","Rural","Male","Never sought help but told someone",13
"Marital status","Never married","Male","Never sought help but told someone",13
"Marital status","Never ever had intimate partner","Male","Never sought help but told someone",10
"Marital status","Ever had intimate partner","Male","Never sought help but told someone",15
"Marital status","Ever married","Male","Never sought help but told someone",12
"Marital status","Married/living together","Male","Never sought help but told someone",12
"Marital status","Divorced/separated/widowed","Male","Never sought help but told someone",13
"Employment","Employed for cash","Male","Never sought help but told someone",13
"Employment","Employed not for cash","Male","Never sought help but told someone",16
"Employment","Not employed","Male","Never sought help but told someone",11
"Education","No education","Male","Never sought help but told someone",14
"Education","Primary","Male","Never sought help but told someone",15
"Education","Secondary","Male","Never sought help but told someone",11
"Education","More than secondary","Male","Never sought help but told someone",11
"Wealth quintile","Lowest","Male","Never sought help but told someone",16
"Wealth quintile","Second","Male","Never sought help but told someone",14
"Wealth quintile","Middle","Male","Never sought help but told someone",12
"Wealth quintile","Fourth","Male","Never sought help but told someone",12
"Wealth quintile","Highest","Male","Never sought help but told someone",10
"Type of violence experienced","Physical only","Female","Never sought help, never told anyone",46
"Type of violence experienced","Sexual only","Female","Never sought help, never told anyone",51
"Type of violence experienced","Both physical and sexual","Female","Never sought help, never told anyone",29
"Age","15-19","Female","Never sought help, never told anyone",56
"Age","20-24","Female","Never sought help, never told anyone",44
"Age","25-29","Female","Never sought help, never told anyone",42
"Age","30-39","Female","Never sought help, never told anyone",37
"Age","40-49","Female","Never sought help, never told anyone",38
"Residence","Urban","Female","Never sought help, never told anyone",38
"Residence","Rural","Female","Never sought help, never told anyone",44
"Marital status","Never married","Female","Never sought help, never told anyone",48
"Marital status","Never ever had intimate partner","Female","Never sought help, never told anyone",50
"Marital status","Ever had intimate partner","Female","Never sought help, never told anyone",47
"Marital status","Ever married","Female","Never sought help, never told anyone",40
"Marital status","Married/living together","Female","Never sought help, never told anyone",44
"Marital status","Divorced/separated/widowed","Female","Never sought help, never told anyone",29
"Employment","Employed for cash","Female","Never sought help, never told anyone",38
"Employment","Employed not for cash","Female","Never sought help, never told anyone",42
"Employment","Not employed","Female","Never sought help, never told anyone",50
"Education","No education","Female","Never sought help, never told anyone",58
"Education","Primary","Female","Never sought help, never told anyone",41
"Education","Secondary","Female","Never sought help, never told anyone",43
"Education","More than secondary","Female","Never sought help, never told anyone",37
"Wealth quintile","Lowest","Female","Never sought help, never told anyone",48
"Wealth quintile","Second","Female","Never sought help, never told anyone",43
"Wealth quintile","Middle","Female","Never sought help, never told anyone",41
"Wealth quintile","Fourth","Female","Never sought help, never told anyone",42
"Wealth quintile","Highest","Female","Never sought help, never told anyone",36
"Type of violence experienced","Physical only","Male","Never sought help, never told anyone",58
"Type of violence experienced","Sexual only","Male","Never sought help, never told anyone",70
"Type of violence experienced","Both physical and sexual","Male","Never sought help, never told anyone",49
"Age","15-19","Male","Never sought help, never told anyone",65
"Age","20-24","Male","Never sought help, never told anyone",61
"Age","25-29","Male","Never sought help, never told anyone",52
"Age","30-39","Male","Never sought help, never told anyone",59
"Age","40-49","Male","Never sought help, never told anyone",50
"Residence","Urban","Male","Never sought help, never told anyone",58
"Residence","Rural","Male","Never sought help, never told anyone",58
"Marital status","Never married","Male","Never sought help, never told anyone",63
"Marital status","Never ever had intimate partner","Male","Never sought help, never told anyone",67
"Marital status","Ever had intimate partner","Male","Never sought help, never told anyone",59
"Marital status","Ever married","Male","Never sought help, never told anyone",54
"Marital status","Married/living together","Male","Never sought help, never told anyone",54
"Marital status","Divorced/separated/widowed","Male","Never sought help, never told anyone",52
"Employment","Employed for cash","Male","Never sought help, never told anyone",55
"Employment","Employed not for cash","Male","Never sought help, never told anyone",59
"Employment","Not employed","Male","Never sought help, never told anyone",71
"Education","No education","Male","Never sought help, never told anyone",68
"Education","Primary","Male","Never sought help, never told anyone",52
"Education","Secondary","Male","Never sought help, never told anyone",62
"Education","More than secondary","Male","Never sought help, never told anyone",59
"Wealth quintile","Lowest","Male","Never sought help, never told anyone",55
"Wealth quintile","Second","Male","Never sought help, never told anyone",52
"Wealth quintile","Middle","Male","Never sought help, never told anyone",62
"Wealth quintile","Fourth","Male","Never sought help, never told anyone",57
"Wealth quintile","Highest","Male","Never sought help, never told anyone",64
