"Value","Category","Proportion","Participants","Background characteristics"
"Urban","Know risk of MTCT reduced by mother's special drugs",80,"Men","Residence"
"Urban","Heard of PrEP",62,"Men","Residence"
"Urban","Approve of people taking PrEP",71,"Men","Residence"
"Rural","Heard of ARVs that treat HIV",90,"Men","Residence"
"Rural","Know risk of MTCT reduced by mother's special drugs",67,"Men","Residence"
"Rural","Heard of PrEP",41,"Men","Residence"
"Rural","Approve of people taking PrEP",54,"Men","Residence"
"No education","Heard of ARVs that treat HIV",66,"Women","Education"
"No education","Know risk of MTCT reduced by mother's special drugs",40,"Women","Education"
"No education","Heard of PrEP",15,"Women","Education"
"No education","Approve of people taking PrEP",60,"Women","Education"
"Primary","Heard of ARVs that treat HIV",91,"Women","Education"
"Primary","Know risk of MTCT reduced by mother's special drugs",74,"Women","Education"
"Primary","Heard of PrEP",41,"Women","Education"
"Primary","Approve of people taking PrEP",76,"Women","Education"
"Secondary","Heard of ARVs that treat HIV",94,"Women","Education"
"Secondary","Know risk of MTCT reduced by mother's special drugs",77,"Women","Education"
"Secondary","Heard of PrEP",49,"Women","Education"
"Secondary","Approve of people taking PrEP",71,"Women","Education"
"More than secondary","Heard of ARVs that treat HIV",98,"Women","Education"
"More than secondary","Know risk of MTCT reduced by mother's special drugs",86,"Women","Education"
"More than secondary","Heard of PrEP",71,"Women","Education"
"More than secondary","Approve of people taking PrEP",65,"Women","Education"
"No education","Heard of ARVs that treat HIV",69,"Men","Education"
"No education","Know risk of MTCT reduced by mother's special drugs",41,"Men","Education"
"No education","Heard of PrEP",12,"Men","Education"
"No education","Approve of people taking PrEP",66,"Men","Education"
"Primary","Heard of ARVs that treat HIV",88,"Men","Education"
"Primary","Know risk of MTCT reduced by mother's special drugs",68,"Men","Education"
"Primary","Heard of PrEP",38,"Men","Education"
"Primary","Approve of people taking PrEP",61,"Men","Education"
"Secondary","Heard of ARVs that treat HIV",95,"Men","Education"
"Secondary","Know risk of MTCT reduced by mother's special drugs",72,"Men","Education"
"Secondary","Heard of PrEP",47,"Men","Education"
"Secondary","Approve of people taking PrEP",62,"Men","Education"
"More than secondary","Heard of ARVs that treat HIV",99,"Men","Education"
"More than secondary","Know risk of MTCT reduced by mother's special drugs",84,"Men","Education"
"More than secondary","Heard of PrEP",78,"Men","Education"
"More than secondary","Approve of people taking PrEP",64,"Men","Education"
