"Background characteristics","Category","Gender","variable","value"
"Education","More than secondary","Male","Own a smartphone",90
"Wealth quintile","Lowest","Male","Own a smartphone",16
"Wealth quintile","Second","Male","Own a smartphone",25
"Wealth quintile","Middle","Male","Own a smartphone",43
"Wealth quintile","Fourth","Male","Own a smartphone",62
"Wealth quintile","Highest","Male","Own a smartphone",85
"Age","15-19","Female","Used a mobile phone for 
financial transactions 
(last 12 months)",36
"Age","20-24","Female","Used a mobile phone for 
financial transactions 
(last 12 months)",84
"Age","25-29","Female","Used a mobile phone for 
financial transactions 
(last 12 months)",90
"Age","30-34","Female","Used a mobile phone for 
financial transactions 
(last 12 months)",89
"Age","35-39","Female","Used a mobile phone for 
financial transactions 
(last 12 months)",90
"Age","40-44","Female","Used a mobile phone for 
financial transactions 
(last 12 months)",91
"Age","45-49","Female","Used a mobile phone for 
financial transactions 
(last 12 months)",90
"Residence","Urban","Female","Used a mobile phone for 
financial transactions 
(last 12 months)",88
"Residence","Rural","Female","Used a mobile phone for 
financial transactions 
(last 12 months)",72
"Education","No education","Female","Used a mobile phone for 
financial transactions 
(last 12 months)",54
"Education","Primary","Female","Used a mobile phone for 
financial transactions 
(last 12 months)",75
"Education","Secondary","Female","Used a mobile phone for 
financial transactions 
(last 12 months)",76
"Education","More than secondary","Female","Used a mobile phone for 
financial transactions 
(last 12 months)",99
"Wealth quintile","Lowest","Female","Used a mobile phone for 
financial transactions 
(last 12 months)",54
"Wealth quintile","Second","Female","Used a mobile phone for 
financial transactions 
(last 12 months)",71
"Wealth quintile","Middle","Female","Used a mobile phone for 
financial transactions 
(last 12 months)",79
"Wealth quintile","Fourth","Female","Used a mobile phone for 
financial transactions 
(last 12 months)",87
"Wealth quintile","Highest","Female","Used a mobile phone for 
financial transactions 
(last 12 months)",91
"Age","15-19","Male","Used a mobile phone for 
financial transactions 
(last 12 months)",44
"Age","20-24","Male","Used a mobile phone for 
financial transactions 
(last 12 months)",89
"Age","25-29","Male","Used a mobile phone for 
financial transactions 
(last 12 months)",95
"Age","30-34","Male","Used a mobile phone for 
financial transactions 
(last 12 months)",94
"Age","35-39","Male","Used a mobile phone for 
financial transactions 
(last 12 months)",94
"Age","40-44","Male","Used a mobile phone for 
financial transactions 
(last 12 months)",92
"Age","45-49","Male","Used a mobile phone for 
financial transactions 
(last 12 months)",93
"Residence","Urban","Male","Used a mobile phone for 
financial transactions 
(last 12 months)",92
"Residence","Rural","Male","Used a mobile phone for 
financial transactions 
(last 12 months)",74
"Education","No education","Male","Used a mobile phone for 
financial transactions 
(last 12 months)",72
"Education","Primary","Male","Used a mobile phone for 
financial transactions 
(last 12 months)",72
"Education","Secondary","Male","Used a mobile phone for 
financial transactions 
(last 12 months)",81
"Education","More than secondary","Male","Used a mobile phone for 
financial transactions 
(last 12 months)",99
"Wealth quintile","Lowest","Male","Used a mobile phone for 
financial transactions 
(last 12 months)",65
"Wealth quintile","Second","Male","Used a mobile phone for 
financial transactions 
(last 12 months)",71
"Wealth quintile","Middle","Male","Used a mobile phone for 
financial transactions 
(last 12 months)",78
"Wealth quintile","Fourth","Male","Used a mobile phone for 
financial transactions 
(last 12 months)",90
"Wealth quintile","Highest","Male","Used a mobile phone for 
financial transactions 
(last 12 months)",94
"Age","15-19","Female","Have & use a bank account",3
"Age","20-24","Female","Have & use a bank account",25
"Age","25-29","Female","Have & use a bank account",36
"Age","30-34","Female","Have & use a bank account",38
"Age","35-39","Female","Have & use a bank account",38
"Age","40-44","Female","Have & use a bank account",38
"Age","45-49","Female","Have & use a bank account",36
"Residence","Urban","Female","Have & use a bank account",42
"Residence","Rural","Female","Have & use a bank account",19
"Education","No education","Female","Have & use a bank account",8
"Education","Primary","Female","Have & use a bank account",14
"Education","Secondary","Female","Have & use a bank account",23
"Education","More than secondary","Female","Have & use a bank account",74
"Wealth quintile","Lowest","Female","Have & use a bank account",5
"Wealth quintile","Second","Female","Have & use a bank account",10
"Wealth quintile","Middle","Female","Have & use a bank account",21
"Wealth quintile","Fourth","Female","Have & use a bank account",34
"Wealth quintile","Highest","Female","Have & use a bank account",56
"Age","15-19","Male","Have & use a bank account",4
"Age","20-24","Male","Have & use a bank account",34
"Age","25-29","Male","Have & use a bank account",55
"Age","30-34","Male","Have & use a bank account",55
"Age","35-39","Male","Have & use a bank account",55
"Age","40-44","Male","Have & use a bank account",54
"Age","45-49","Male","Have & use a bank account",52
"Residence","Urban","Male","Have & use a bank account",56
"Residence","Rural","Male","Have & use a bank account",28
"Education","No education","Male","Have & use a bank account",13
"Education","Primary","Male","Have & use a bank account",22
"Education","Secondary","Male","Have & use a bank account",32
"Education","More than secondary","Male","Have & use a bank account",86
"Wealth quintile","Lowest","Male","Have & use a bank account",9
"Wealth quintile","Second","Male","Have & use a bank account",20
"Wealth quintile","Middle","Male","Have & use a bank account",31
"Wealth quintile","Fourth","Male","Have & use a bank account",50
"Wealth quintile","Highest","Male","Have & use a bank account",72
"Age","15-19","Female","Deposited/ withdrew money 
from own account 
(last 12 months)",2
"Age","20-24","Female","Deposited/ withdrew money 
from own account 
(last 12 months)",19
"Age","25-29","Female","Deposited/ withdrew money 
from own account 
(last 12 months)",29
"Age","30-34","Female","Deposited/ withdrew money 
from own account 
(last 12 months)",28
"Age","35-39","Female","Deposited/ withdrew money 
from own account 
(last 12 months)",29
"Age","40-44","Female","Deposited/ withdrew money 
from own account 
(last 12 months)",30
"Age","45-49","Female","Deposited/ withdrew money 
from own account 
(last 12 months)",27
"Residence","Urban","Female","Deposited/ withdrew money 
from own account 
(last 12 months)",34
"Residence","Rural","Female","Deposited/ withdrew money 
from own account 
(last 12 months)",14
"Education","No education","Female","Deposited/ withdrew money 
from own account 
(last 12 months)",4
"Education","Primary","Female","Deposited/ withdrew money 
from own account 
(last 12 months)",9
"Education","Secondary","Female","Deposited/ withdrew money 
from own account 
(last 12 months)",16
"Education","More than secondary","Female","Deposited/ withdrew money 
from own account 
(last 12 months)",62
"Wealth quintile","Lowest","Female","Deposited/ withdrew money 
from own account 
(last 12 months)",2
"Wealth quintile","Second","Female","Deposited/ withdrew money 
from own account 
(last 12 months)",6
"Wealth quintile","Middle","Female","Deposited/ withdrew money 
from own account 
(last 12 months)",14
"Wealth quintile","Fourth","Female","Deposited/ withdrew money 
from own account 
(last 12 months)",26
"Wealth quintile","Highest","Female","Deposited/ withdrew money 
from own account 
(last 12 months)",47
"Age","15-19","Male","Deposited/ withdrew money 
from own account 
(last 12 months)",3
"Age","20-24","Male","Deposited/ withdrew money 
from own account 
(last 12 months)",30
"Age","25-29","Male","Deposited/ withdrew money 
from own account 
(last 12 months)",45
"Age","30-34","Male","Deposited/ withdrew money 
from own account 
(last 12 months)",46
"Age","35-39","Male","Deposited/ withdrew money 
from own account 
(last 12 months)",44
"Age","40-44","Male","Deposited/ withdrew money 
from own account 
(last 12 months)",43
"Age","45-49","Male","Deposited/ withdrew money 
from own account 
(last 12 months)",41
"Residence","Urban","Male","Deposited/ withdrew money 
from own account 
(last 12 months)",50
"Residence","Rural","Male","Deposited/ withdrew money 
from own account 
(last 12 months)",20
"Education","No education","Male","Deposited/ withdrew money 
from own account 
(last 12 months)",9
"Education","Primary","Male","Deposited/ withdrew money 
from own account 
(last 12 months)",15
"Education","Secondary","Male","Deposited/ withdrew money 
from own account 
(last 12 months)",26
"Education","More than secondary","Male","Deposited/ withdrew money 
from own account 
(last 12 months)",78
"Wealth quintile","Lowest","Male","Deposited/ withdrew money 
from own account 
(last 12 months)",5
"Wealth quintile","Second","Male","Deposited/ withdrew money 
from own account 
(last 12 months)",12
"Wealth quintile","Middle","Male","Deposited/ withdrew money 
from own account 
(last 12 months)",23
"Wealth quintile","Fourth","Male","Deposited/ withdrew money 
from own account 
(last 12 months)",41
"Wealth quintile","Highest","Male","Deposited/ withdrew money 
from own account 
(last 12 months)",66
"Age","15-19","Female","Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",36
"Age","20-24","Female","Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",85
"Age","25-29","Female","Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",90
"Age","30-34","Female","Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",90
"Age","35-39","Female","Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",91
"Age","40-44","Female","Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",92
"Age","45-49","Female","Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",91
"Residence","Urban","Female","Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",88
"Residence","Rural","Female","Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",73
"Education","No education","Female","Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",57
"Education","Primary","Female","Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",75
"Education","Secondary","Female","Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",77
"Education","More than secondary","Female","Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",99
"Wealth quintile","Lowest","Female","Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",56
"Wealth quintile","Second","Female","Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",72
"Wealth quintile","Middle","Female","Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",80
"Wealth quintile","Fourth","Female","Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",88
"Wealth quintile","Highest","Female","Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",92
"Age","15-19","Male","Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",44
"Age","20-24","Male","Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",90
"Age","25-29","Male","Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",96
"Age","30-34","Male","Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",95
"Age","35-39","Male","Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",95
"Age","40-44","Male","Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",92
"Age","45-49","Male","Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",94
"Residence","Urban","Male","Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",92
"Residence","Rural","Male","Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",75
"Education","No education","Male","Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",72
"Education","Primary","Male","Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",73
"Education","Secondary","Male","Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",82
"Education","More than secondary","Male","Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",100
"Wealth quintile","Lowest","Male","Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",66
"Wealth quintile","Second","Male","Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",72
"Wealth quintile","Middle","Male","Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",79
"Wealth quintile","Fourth","Male","Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",90
"Wealth quintile","Highest","Male","Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",95
